eng_name,kor_name
ERMANNO SCERVINO,에르마노 세르비노
ERMENEGILDO ZEGNA,에르메네질도 제냐
ERMENEGILDO ZEGNA COUTURE,에르메네질도 제냐 쿠튀르
ERNESTO ESPOSITO,에르네스토 에스포시토
ESSENTIEL,에센셜
ESTATE,에스테이트
ETIQUETA NEGRA,에티케타 네그라
ETRO,에트로
EUREKA,유레카
F.LLI CERRUTI DAL 1881,F.LLI 체루티 달 1881
FABI,파비
FABIANA FILIPPI,파비아나 필리피
FABRIZIO DEL CARLO,파브리지오 델 카를로
FABRIZIO LENZI,파브리지오 렌지
FABRIZIO VITI,파브리지오 비티
FAITH CONNEXION,페이스 커넥션
FALIERO SARTI,팔리에로 사르티
FAUSTO PUGLISI,파우스토 풀리시
FAY,페이
FEAR OF GOD ESSENTIALS,피오갓
FEDELI,페델리
FEDERICA TOSI,페데리카 토시
Federico Cina,페데리코 치나
FELIPE OLIVEIRA BAPTISTA,펠리페 올리베이라 바티스타
FELISI,펠리시
FENDI,펜디
FENDI CASA,펜디 카사
FENDI KIDS,펜디 키즈
FERR,페레
FERRAGAMO,페라가모
FERRANTE,페란테
FERRARI,페라리
FERRETTI,페레티
FILIPPA K,필리파 케이
FILSON,필슨
FINAMORE,피나모레
FIORENTINI + BAKER,피오렌티니 + 베이커
FIORUCCI,피오루치
FISICO,피시코
FIT Tops,핏 탑스
FLORSHEIM,플로셤
FOKUS,포커스
FOLKART,포크아트
FONTANA COUTURE,폰타나 쿠튀르
FONTANA MILANO 1915,폰타나 밀라노 1915
FORNASETTI,포르나세티
FORTE FORTE,포르테 포르테
FOSSIL,포실
FRADI,프라디
FRANKIE MORELLO,프랭키 모렐로
FRANKLIN MARSHALL,프랭클린 앤 마샬
FRATELLI PELUSO,프라텔리 펠루소
FRATELLI ROSETTI,프라텔리 로제티
FRATELLI ROSSETTI,프라텔리 로세티
FRED PERRY,프레드 페리
FREDDY,프레디
FREEMAN T. PORTER,프리맨 티. 포터
FRETTE,프레테
FRONT STREET 8,프론트 스트리트 8
FURLA,훌라
FURLA CANDY,풀라 캔디
FUSION,퓨전
GABRIELE COLANGELO,가브리엘레 콜란젤로
GABRIELE PASINI,가브리엘레 파시니
GABRIELLA FRATTINI,가브리엘라 프라티니
GALLERY,갤러리
GALLO,갈로
GANNI,가니
GARAVANI,가라바니
GAS,가스
GAVAZZENI,가바제니
GAZZARRINI,가자리니
GCDS,지씨디에스
GEDEBE,게데베
GENNY,제니
GEOSPIRIT,지오스피릿
GEOX,제옥스
GHERARDINI,게라르디니
GHIDINELLI,기디넬리
GHUD,고우드
GHURKA,구르카
GIADA,지아다
GIAMBATTISTA VALLI,잠바티스타 발리
GIANCARLO PAOLI,잔카를로 파올리
GIANMARCO LORENZI,잔마르코 로렌지
GIANMARCO VENTURI,잔마르코 벤투리
GIANNI CHIARINI,지안니 키아리니
GIANNI LUPO,지안니 루포
GIANNI VERSACE,지안니 베르사체
GIANNICO,지아니코
GIANVITO ROSSI,지안비토 로시
GIEVES HAWKES,지브스 앤 호크스
GIGI HADID,지지 하디드
GIGLI,질리
GILDA,길다
GILMAR,질마르
GIMO'S,지모스
GINGER,진저
GIORGIA JOHNS,조르지아 앤 존스
GIORGIO ARMANI,조르지오 아르마니
GIORGIO BRATO,조르지오 브라토
GIORGIO GRATI,조르지오 그라티
GIOSEPPO,지오세포
GIOVANNI CONTI,지오반니 콘티
GIUSEPPE ZANOTTI,쥐세페 자노티
GIVENCHY,지방시
GLAMOROUS,글래머러스
GOBI,고비
GOLDEN GOOSE,골든 구스
GOLDEN POINT,골든 포인트
GOLF CLUB,골프 클럽
GORE-TEX,고어텍스
GRAN SASSO,그란 사소
GRENSON,그렌슨
GRIFONI,그리포니
G-STAR RAW,지-스타 로우
GUCCI,구찌
GUCCI BEAUTY,구찌 뷰티
GUCCI HOME,구찌 홈
GUCCI KIDS,구찌 키즈
GUESS,게스
GUGLIELMINOTTI,구글리엘미노티
GUIDI,구이디
GUILD PRIME,길드 프라임
GUM,검
GUNEX,구넥스
HACHE,아체
HANITA,하니타
HARRIS WHARF LONDON,해리스 워프 런던
HEDGREN,헤드그렌
HELMUT LANG,헬무트 랭
HENDERSON,헨더슨
HENRY BEGUELIN,헨리 베겔린
HENRY COTTON'S,헨리 코튼스
HEREU,헤레우
HERNO,헤르노
HERNO LAMINAR,헤르노 라미나르
HERON PRESTON,헤론 프레스톤
HERVE,에르베
HEV,헤보
HIBOURAMA,히보우라마 
HIDEJACK,하이드앤잭
HILFIGER COLLECTION,힐피거 컬렉션
HILTON,힐튼
HISTORY REPEATS,히스토리 리피츠
HI-TEC,하이텍
HOGAN,호간
HOGAN REBEL,호간 리벨
HOMERS,호머스
HOMME PLISSE ISSEY MIYAKE,이세이미야케 옴므플리세 플리츠
HUGO,휴고 보스
HYDROGEN,하이드로젠
Ibeliv,이벨리브
ICE PLAY,아이스 플레이
ICEBERG,아이스버그
IL BISONTE,일 비종떼
ILARIA NISTRI,일라리아 니스트리
IM ISOLA MARRAS,아임 이솔라 마라스
IMPERIAL,임페리얼
IMPULSE,임펄스
INCOTEX,인코텍스
INDIPENDENCE,인디펜던스
INGRAM,인그램
INNERRAUM,이너라움
INTER,인터
INVICTA,인빅타
IPANEMA,이파네마
ISABEL BENENATO,이자벨 베네나토
ISABEL MARANT,이자벨 마랑
ISAIA,이사이아
ISOLA MARRAS,이솔라 마라스
ITALIANA,이탈리아나
IVANO REDAELLI,이바노 레다엘리
J.CREW,제이크루
J.W.ANDERSON,제이더블유앤더슨
JACOB COHEN,야콥 코헨
JACQUEMUS,자크뮈스
JAGGY,재기
JAMES PERSE,제임스 퍼스
JECKERSON,제커슨
JEREMY SCOTT,제레미 스콧
Jil Sander,질샌더
JIL SANDER NAVY,질 샌더 네이비
JIMMY CHOO,지미 추
JIMMY CHOO LONDON,지미 추 런던
JO GHOST,조 고스트
JO NO FUI,조 노 퓌
JOHN ELLIOTT,존 엘리엇
JOHN RICHMOND,존 리치몬드
JOHN RICHMOND BEACHWEAR,존 리치먼드 비치웨어
JOHN VARVATOS,존 바바토스
JORDAN,조던
JOSEPH,조셉
JOSHUA SANDERS,조슈아 샌더스
JUCCA,주카
JUST CAVALLI,저스트 카발리
JW ANDERSON,앤더슨
KANGOL,캉골
Kaptain Sunshine,캡틴 선샤인
KAREN MILLEN,카렌 밀렌
KARL LAGERFELD,칼 라거펠트
KARTELL,카르텔
KATE SPADE,케이트 스페이드
KENZO,겐조
KENZO KIDS,켄조 키즈
Khaite,케이트
KIDSUPER,키드슈퍼
KIPTIME,킵타임
KIRED,키레드
KIT WILLOW,키트 윌로우
KITON,키톤
KNZ,케엔지
KRIZIA,크리지아
KSUBI ICONS,수비 아이콘스
K-WAY,케이웨이
L.B.M. 1911,L.B.M. 1911
L4K3,레이크
LA FABBRICA DEL LINO,라 파브리카 델 리노
LA MARTINA,라 마르티나
LA PERLA,라 페를라
LA PERLA BEACHWEAR,라 페를라 비치웨어
LABELS LAB,레이블스 랩
LABORATORIO PARAVICINI,라보라토리오 파라비치니
LABORATORY,래버러토리
LACOSTE,라코스테
L'AGENCE,라젠스
LAMBORGHINI,람보르기니
LANIFICIO COLOMBO,라니피치오 콜롬보
LANIFICIO ROMA,라니피시오 로마
LANIFICIO ZIGNONE,라니피시오 지그노네
LANVIN,랑방
LANVIN COLLECTION,랑방 컬렉션
LANVIN PETITE,랑방 쁘띠
L'APPARTEMENT,라파트망
LARDINI,라르디니
LARDINI SARTORIA,라르디니 사르토리아
LARIANNA,라리안나
LAURA BIAGIOTTI,라우라 비아지오티
LAURA STRAMBI,라우라 스트람비
LAUREL,로렐
LAURENCE DACADE,로렌스 다카드
L'AUTRE CHOSE,로트레 초즈
LE BEBE,르 베베
LE COEUR TWINSET,르 쾨르 트윈셋
LE SILLA,르 실라
Le Tanneur,르 테너
LEATHER CROWN,레더 크라운
LEATHEROTICS,레더로틱스
LEMAIRE ,르메르
LEO STUDIO DESIGN,레오 스튜디오 디자인
LES COPAINS,레 코팽
LES COPAINS BLUE,레 코팽 블루
LES HOMMES,레 옴므
LES HOMMES URBAN,레 옴므 어반
LESSMORE,레스모어
LEVIS RED TAB,리바이스 레드 탭
LGR,엘지알
LIBERTY LONDON,리버티 런던
L'IMPERMEABILE,림페르메아블레
LIU JO,리우 조
LIVIANA CONTI,리비아나 콘티
L'LEGACY,레거시
LOEWE,로에베
LONGCHAMP,롱샴
L'ORAL,로레알
LORENA ANTONIAZZI,로레나 안토니아찌
LORENZINI,로렌지니
LORETTA CAPONI,로레타 카포니
LORIBLU,로리블루
LORO PIANA,로로 피아나
LOVE MOSCHINO,러브 모스키노
LUBIAM,루비암
LUCIANO BARBERA,루치아노 바르베라
LUCIANO PADOVAN,루치아노 파도반
LUIGI BORRELLI,루이지 보렐리
LUISA BECCARIA,루이사 베카리아
LUNATIC,루나틱
M MISSONI,엠 미쏘니
MAGLIANO,마리아노
MAISON KITSUN,메종 키츠네
MAISON KITSUNE,메종 키츠네
MAISON MARGIELA,메종 마르지엘라
MALIPARMI,말리파르미
MALLONI,말로니
MALO,말로
MALONE SOULIERS,말론 슐리에
MANEBI,마네비
MANILA GRACE,마닐라 그레이스
MANILA GRACE DENIM,마닐라 그레이스 데님
MANOLO BLAHNIK,마놀로 블라닉
MANTELLASSI 1926,만텔라시 1926
MANUEL BARCEL,마누엘 바르셀로
MANUEL RITZ,마누엘 리츠
MANZONI 24,만조니 24
Marant,이자벨마랑
MARANT ETOILE,아자벨마랑 에뚜왈
MARC JACOBS,마크 제이콥스
MARCELLA,마르셀라
MARCELO BURLON,마르셀로 불론
MARCELO BURLON KIDS,마르셀로 버론 키즈
MARCIANO,마르시아노
MARCO BOLOGNA,마르코 볼로냐
MARCO PESCAROLO,마르코 페스카롤로
MARCO PROIETTI DESIGN,마르코 프로이에티 디자인
MARCO RAMBALDI,마르코 람발디
MARGAUX LONNBERG,마르고 론베르그
MARIA GRAZIA SEVERI,마리아 그라치아 세베리
MARIELLA BURANI,마리엘라 부라니
MARIELLA ROSATI,마리엘라 로사티
MARINA RINALDI,마리나 리날디
MARINA SPORT,마리나 스포츠
MARINA YACHTING,마리나 요팅
Marine Serre,마린 세르
MARIO VALENTINO,마리오 발렌티노
MARIUCCIA,마리우치아
MARKUS LUPFER,마커스 루퍼
MARNI,마르니
MARNI KIDS,마르니 키즈
MARQUES ALMEIDA,마르케스 알메이다
MARQUES'ALMEIDA,마르케스알메이다
MARSELL,마르셀
MARSILIO,마르실리오
MARSLL,마르셀
MARTINO MIDALI,마르티노 미달리
MARYLING,메리링
MASSIMO ALBA,마시모 알바
MASSIMO DUTTI,마시모 두티
MASSIMO REBECCHI,마시모 레베키
MAURIZIO MIRI,마우리지오 미리
MAURIZIO PECORARO,마우리지오 페코라로
MAURO GRIFONI,마우로 그리포니
MAX MARA,막스 마라
MAX MARA STUDIO,막스마라 스튜디오
MAX MARA WEEKEND,막스마라 위켄드
MAXCO,맥스앤코
MC2 SAINT BARTH,MC2 생 바스
MECHANIC,메카닉
MERCHANT ARCHIVE,머천트 아카이브
MERCI,메르시
MESSAGERIE,메사제리에
METRADAMO,메트라다모
METROCITY,메트로시티
MIAHATAMI,미아하타미
MICHAEL DASS,마이클 다스
Michael Kors,마이클 코어스
MICHAEL KORS,마이클 코어스
MIGUEL PALACIO,미구엘 팔라시오
MIKIO SAKABE,미키오 사카베
MILA SCHN,밀라 쇤
MILENA ANDRADE,밀레나 안드라데
MIMI MA,미미 뮤아
MINIMAL,미니멀
MINIMUM,미니멈
MIRA MIKATI,미라 미카티
MIRANDA KONSTANTINIDOU,미란다 콘스탄티니두
MIRELLA MATTEINI,미렐라 마테이니
MIRIAM STELLA,미리암 스텔라
MISBHV,미스비헤이브
MISSMANIA,미스매니아
MISSONI,미쏘니
MISSONI HOME,미쏘니 홈
MISSONI SPORT,미쏘니 스포츠
MIU MIU,미우미우
MM6 MAISON MARGIELA,엠엠6 메종 마르지엘라
MOMONI,모모니
MONCHO HEREDIA,몬초 헤레디아
MONCLER,몽클레어
MONICA SARTI,모니카 사르티
MONREAL LONDON,몬레알 런던
MONTBLANC,몽블랑
MONTECORE,몬테코어
MONTEFIORE,몬테피오레
MONTEGRAPPA,몬테그라파
MONTEREGGI,몬테레지
MOONBOOT,문부트
MORESCHI,모레스키
MORPHE,모르페
MOSCHINO,모스키노
MOSCHINO COUTURE,모스키노 쿠튀르
MOSCOT,모스콧
MOTIVI,모티비
MOU,모우
MR MRS ITALY,미스터 앤 미세스 이탈리
MSGM,엠에스지엠
MUG,머그
MUGLER,뮤글러
MULBERRY,멀버리
MUUBAA,무바
My Best Bag,마이 베스트 백
MY TWIN TWINSET,마이 트윈 트윈셋
MYRIAM NOURI,미리암 누리
N.D.C. MADE BY HAND,엔.디.씨. 메이드 바이 핸드
NANNI,난니
NANNINI,난니니
NAPAPIJRI,나파피리
NATASHA ZINKO,나타샤 진코
NAUGHTY DOG,노티 독
NAVIGARE,나비가레
NEIL BARRETT,닐 바렛
NEIL BARRETT KIDS,닐 바렛 키즈
NEMO,네모
NENETTE,네넷
NEUTRON,뉴트론
NEW BALANCE,뉴발란스
NEW BALANCE LIFESTYLE,뉴발란스 라이프스타일
NIALAYA,니알라야
NICOLE BONNET,니콜 보넷
NICWAVE,닉웨이브
NINA RICCI,니나 리치
NINE IN THE MORNING,나인인더모닝
NO KA'OI,노 카오이
NO SECRETS,노 시크릿
NO ZONE,노 존
NOA NOA,노아 노아
NOAK,노악
NOBILI,노빌리
NOBIS,노비스
NOIR KEI NINOMIYA,느와 케이 니노미야
NORA BARTH,노라 바스
NORMA KAMALI,노마 카말리
NORTH POLE,노스 폴
NORTH SAILS,노스 세일즈
NORTHLAND,노스랜드
NORTON,노턴
NOSTRASANTISSIMA,노스트라산티시마
NOTE,노트
NOTRE-V,노트르-V
NUDE,누드
NUMERO 00,누메로 00
NUOVA SIMONELLI,누오바 시모넬리
NUOVI ARTIGIANI,누오비 아르티지아니
O.X.S.,오.엑스.에스.
OBLIQUE CREATIONS,오블리크 크리에이션
OFFICINA 36,오피치나 36
OFFICINA SLOWEAR,오피치나 슬로웨어
OFFICINE CREATIVE,오피시네 크리에이티브
OFFICINE GNRALE,오피신 제네랄
OFFSPRING,오프스프링
offwhite,오프 화이트
OFF-WHITE,오프 화이트
OG,오지
OGIO,오지오
OILER BOILER,오일러 앤 보일러
OLD TREND,올드 트렌드
OLGA BERG,올가 베르그
OLIVE,올리브
OLIVER PEOPLES,올리버 피플스
OLIVIA VON HALLE,올리비아 본 할레
OLYMPIA LE-TAN,올림피아 르탄
OLYMPUS,올림푸스
OMEGA,오메가
ONE,원
OPALINE,오팔린
OPENING CEREMONY,오프닝 세레모니
OPINION,오피니언
ORCIANI,오르치아니
ORION LONDON,오리온 런던
ORLEBAR BROWN,올레바 브라운
ORO FIRENZE,오로 피렌체
ORTIGNI,오르티니
ORTYS,오티스
ORWELL,오웰
OSIRIS,오시리스
OTTODAME,오토담
OTTOD'AME,오또다메
OTTOLINGER,오토링거
OTTOTREDICI,오토트레디치
OUTLINE,아웃라인
OUTTHERE,아웃데어
OVERLAP,오버랩
OVYE BY CRISTINA LUCCHI,오비에 바이 크리스티나 루치
OWENS,오웬스
OXFORD,옥스포드
OXYGEN,옥시젠
OZ,오즈
P JEAN,피 진
P.A.DESIGN,피.에이.디자인
P.A.R.O.S.H.,파로쉬
PABLO,파블로
PACIOTTI 308 MADISON NYC,파치오티 308 매디슨 엔와이씨
PACIOTTI 4US,파치오티 4US
PADDING,패딩
PAIGE,페이지
PAL ZILERI,팔 질레리
PALLADIUM,팔라디움
PALM ANGELS,팜 엔젤스
PALM ANGELS X MONCLER,팜 엔젤스 X 몽클레어
PALMERHARDING,팔머하딩
PALOMA BARCEL,팔로마 바르셀로
PALOMA BARCELO,팔로마 바르셀로
PALZILERI,팔질레리
PANIZZA,파니자
PANTANETTI,판타네티
PANTOFOLA D'ORO,판토폴라 도로
PAOLO DA PONTE,파올로 다 폰테
PAOLO FIORILLO,파올로 피오릴로
PAOLO PECORA,파올로 페코라
PAOLO PETRONE,파올로 페트로네
PAOLO PIOVAN,파올로 피오반
PARAJUMPERS,파라점퍼스
PARAKIAN PARIS,파라키안 파리
PARCOATS,파코츠
PAROSH,파로쉬
PARTERRE,파르테르
PASHMINA,파슈미나
PASSEPARTOUT DRESS BY ELISABETTA FRANCHI,파스파투 드레스 바이 엘리사베타 프랑키
PATAGONIA,파타고니아
PATRIZIA FABRI,파트리지아 파브리
PATRIZIA PEPE,파트리지아 페페
PATRIZIA PEPE KIDS,파트리지아 페페 키즈
PATTY,패티
PAUL ANDREW,폴 앤드류
PAUL COSTELLOE,폴 코스텔로
PAUL FRANK,폴 프랭크
PAUL JOE,폴 앤 조
PAUL SHARK,폴앤샤크
PAUL SMITH,폴 스미스
PAULA CADEMARTORI,파울라 카데마르토리
PAULE KA,폴 카
PAURA,파우라
PAVEL YEROKIN,파벨 예로킨
PEDALED,페달드
PEDRO GARCA,페드로 가르시아
PELLETTERIA VENETA,펠레테리아 베네타
PENCE,펜스
PEOPLE OF SHIBUYA,피플 오브 시부야
PESERICO,페세리코
PEUTEREY,페트레이
PHILIPP PLEIN,필립 플레인
PHILIPP PLEIN JUNIOR,필립 플레인 주니어
PHILIPP PLEIN SPORT,필립 플레인 스포츠
PHILIPPE AUDIBERT,필립 오디베르
PHILIPPE MODEL,필립 모델
PHILIPPE MODEL KIDS,필립 모델 키즈
PHILLIP LIM,필립 림
PHILOSOPHY BLUES ORIGINAL,필로소피 블루스 오리지널
PHILOSOPHY DI ALBERTA FERRETTI,필로소피 디 알베르타 페레티
PHILOSOPHY DI LORENZO SERAFINI,필로소피 디 로렌조 세라피니
PHISIQUE DU ROLE,피지크 듀 롤
PIANURASTUDIO,피아누라스튜디오
PICCIONE.PICCIONE,피치오네.피치오네
PIECES,피시스
PIERANTONIO GASPARI,피에란토니오 가스파리
PIERRE BALMAIN,피에르 발망
PIERRE DARR,피에르 다레
PIERRE HARDY,피에르 아르디
PIERRE LOUIS MASCIA,피에르 루이 마샤
PIERRE MANTOUX,피에르 만투
PIETER,피터
PIETRO BRUNELLI,피에트로 브루넬리
PINK MEMORIES,핑크 메모리즈
PINKO,핑코
PINKO BAG,핑코 백
PINKO BLACK,핑코 블랙
PINKO KIDS,핑코 키즈
PINKO TAG,핑코 태그
PINO LERARIO,피노 레라리오
PIOMBO,피옴보
PIQUADRO,피쿠아드로
PIQUET,피켓
PIRELLI PZERO,피렐리 피제로
PISTOLATO,피스톨라토
PIXIE,픽시
PLATFORM,플랫폼
PLAYHAT,플레이햇
